current_title,decision,new_title,description,tags,first_image_direction
"Silver Dove Necklace, Peace Bird Pendant, Minimalist Layering Jewelry, Handmade Jewelry","reframe","Silver Dove Necklace, Peace Bird Pendant, Minimalist Gift for Her","A silver dove necklace with a graceful peace-bird pendant and clean minimalist styling. It is a soft symbolic piece for everyday wear, remembrance, or meaningful gifting.","silver dove necklace|peace necklace|bird pendant|minimalist necklace|gift for her|meaningful jewelry|silver pendant|symbolic necklace|everyday jewelry|dainty jewelry|remembrance gift|layering necklace|women necklace","Pendant centered on soft gray background"
"Minimal Gold Sun Pendant Necklace, Celestial Layering Jewelry, Elegant Everyday Gift","hero","Gold Sun Pendant Necklace, Celestial Layering Jewelry, Everyday Gift for Her","A minimal gold sun pendant necklace that adds a warm celestial touch to everyday outfits. Lightweight and easy to layer, it makes a bright, wearable gift.","gold sun necklace|celestial necklace|sun pendant|gift for her|layering jewelry|minimalist necklace|everyday jewelry|gold pendant necklace|dainty necklace|women jewelry|birthday gift|summer jewelry|quiet luxury jewelry","Sun pendant close-up with collarbone image as second photo"
"Turquoise Hamsa Necklace, Gold Evil Eye Charm, Boho Coastal Jewelry, Gift for Her","reframe","Turquoise Hamsa Necklace, Gold Evil Eye Charm, Protective Gift for Her","A turquoise hamsa necklace with a gold evil eye charm for a symbolic, feminine look. It blends protective meaning with summer color and works well as a thoughtful gift.","hamsa necklace|evil eye necklace|protective jewelry|gift for her|turquoise necklace|meaningful necklace|gold charm necklace|summer jewelry|boho necklace|dainty jewelry|spiritual gift|women necklace|layering jewelry","Charm detail plus skin-tone background"
"Gold Cherry Necklace | Dainty Fruit Charm Pendant | Y2K Jewelry | Layering Piece","reframe","Gold Cherry Necklace, Dainty Fruit Charm Pendant, Playful Gift for Her","A gold cherry necklace with a playful fruit charm and polished feminine finish. It adds a sweet accent to layered looks and makes an easy birthday or best-friend gift.","gold cherry necklace|fruit charm necklace|gift for her|dainty necklace|cute necklace|layering jewelry|gold pendant necklace|birthday gift|friend gift|y2k jewelry|women necklace|summer necklace|cherry jewelry","Bright product-only crop; fix incorrect alt text immediately"
"Gold Chain Charm Necklace: Virgin Mary, Butterfly, Lips,","reframe","Gold Multi Charm Necklace, Romantic Pendant Layering Jewelry, Gift for Her","A gold multi-charm necklace with romantic pendant details and a layered statement feel. Best positioned as expressive gifting jewelry rather than quiet-luxury core.","gold charm necklace|multi charm necklace|romantic jewelry|gift for her|layering necklace|gold pendant necklace|statement necklace|women jewelry|meaningful gift|butterfly necklace|religious charm|birthday gift|feminine jewelry","Separate each charm clearly in hero image"
"Handmade Gold Heart Y Lariat Necklace - Gold Plated Stainless Steel","hero","Gold Heart Y Necklace, Dainty Lariat Pendant, Feminine Gift for Her","A delicate gold heart Y necklace that elongates the neckline and adds a feminine finishing touch. Elegant on its own and easy to dress up, it is a strong giftable staple.","gold y necklace|heart lariat necklace|gift for her|dainty necklace|feminine jewelry|gold pendant necklace|layering necklace|everyday jewelry|romantic gift|minimalist jewelry|adjustable necklace|women necklace|date night jewelry","On-model V-neck styling shot"
"Green Enamel Hot Air Balloon Necklace, Whimsical Gold Pendant, Adventure Jewelry","quarantine","Green Hot Air Balloon Necklace, Whimsical Pendant Gift for Traveler","A whimsical hot air balloon necklace for travelers, dreamers, and sentimental gifting. Keep as a niche product, but do not use it to define the main Edel Luxe assortment.","hot air balloon necklace|traveler gift|whimsical necklace|green pendant|gift for her|adventure jewelry|travel gift|gold pendant necklace|cute necklace|birthday gift|wanderlust gift|novelty necklace|women jewelry","Product-only image, excluded from homepage"
"Handmade Silver Sun Pendant Necklace: Boho Celestial Statement Jewelry","reframe","Silver Sun Pendant Necklace, Celestial Layering Jewelry, Gift for Her","A silver sun pendant necklace with celestial detail and an easy layered look. It brings light symbolism to everyday styling without feeling heavy or overdone.","silver sun necklace|celestial necklace|sun pendant|gift for her|silver pendant necklace|layering jewelry|boho necklace|minimalist jewelry|everyday necklace|women jewelry|birthday gift|symbolic necklace|summer jewelry","Close crop on pendant with airy background"
"Gold Eagle Pendant Necklace: Handmade Freedom Charm Jewelry","quarantine","Gold Eagle Pendant Necklace, Freedom Charm Gift, Statement Jewelry","A gold eagle pendant necklace with symbolic freedom styling and a stronger statement feel. Keep for a niche audience, not as a brand-front product.","gold eagle necklace|freedom necklace|statement jewelry|gift for her|gold pendant necklace|bird necklace|symbolic jewelry|handmade necklace|women jewelry|bold necklace|meaningful gift|layering necklace|eagle charm","Centered pendant crop, removed from feature slots"
"Handmade Pearl Choker Necklace: Gemstone Pendant, Gold-Wrapped Boho Jewelry","reframe","Pearl Choker Necklace with Gemstone Pendant, Feminine Layering Jewelry","A pearl choker with a gemstone pendant that blends softness with a decorative focal point. Reframe it as feminine layered jewelry rather than boho-first styling.","pearl choker|gemstone necklace|pearl necklace|gift for her|layering jewelry|feminine necklace|dainty jewelry|bridal jewelry|women necklace|gold wrapped pendant|elegant necklace|romantic jewelry|everyday necklace","Macro on pendant and pearl spacing"
"Gold Herringbone Chain Necklace – Flat Snake Chain, Minimalist Everyday Jewelry,","hero","Gold Herringbone Chain Necklace, Flat Snake Chain, Everyday Minimal Jewelry","A sleek gold herringbone chain with a smooth flat finish for polished daily wear. It is one of the strongest Edel Luxe core products because it layers well and reads premium instantly.","gold herringbone chain|flat snake chain|minimal gold necklace|everyday jewelry|quiet luxury jewelry|layering chain|gold chain necklace|gift for her|dainty chain|minimalist jewelry|women necklace|classic necklace|daily necklace","Collarbone hero, chain broad enough to read on mobile"
"Red Coffin Pendant Necklace – Gothic Gold Chain Jewelry","quarantine","Red Coffin Pendant Necklace, Gothic Charm Jewelry, Alternative Gift","A red coffin pendant necklace for gothic styling and alternative gifting. Keep away from the luxury storefront narrative and treat as a separate niche SKU.","coffin necklace|gothic jewelry|alternative gift|red pendant necklace|statement necklace|gift for her|gold chain necklace|halloween necklace|dark jewelry|novelty necklace|women jewelry|pendant necklace|goth gift","Dark neutral background, not homepage"
"Halloween Beaded Bracelet – Colorful Skull & Pumpkin Jewelry","quarantine","Halloween Beaded Bracelet, Skull Pumpkin Jewelry, Seasonal Gift","A colorful Halloween bracelet with skull and pumpkin details for seasonal gifting and costume styling. It belongs in a short seasonal campaign only.","halloween bracelet|skull bracelet|pumpkin jewelry|seasonal gift|halloween jewelry|beaded bracelet|party accessory|costume jewelry|october gift|colorful bracelet|fun jewelry|spooky gift|holiday bracelet","Seasonal orange crop, hidden outside Q3-Q4"
"Halloween Beaded Necklace – Colorful Skull & Pumpkin Jewelry","quarantine","Halloween Beaded Necklace, Skull Pumpkin Jewelry, Seasonal Gift","A colorful Halloween necklace with playful skull and pumpkin beads for festive styling. Use only in season and never as a core brand signal.","halloween necklace|skull necklace|pumpkin jewelry|seasonal gift|halloween jewelry|beaded necklace|party accessory|costume jewelry|october gift|colorful necklace|fun jewelry|spooky gift|holiday necklace","Seasonal crop, hidden outside Q3-Q4"
"Pearl Gold Bar Necklace, Minimalist Pearl Jewelry, Quiet Luxury Gift for Her","hero","Pearl Gold Bar Necklace, Minimalist Pearl Jewelry, Quiet Luxury Gift for Her","A pearl and gold bar necklace with clean minimalist balance and refined everyday appeal. This is a strong signature-style piece for gifting, office wear, and polished daily outfits.","pearl gold necklace|minimal pearl necklace|quiet luxury jewelry|gift for her|pearl necklace|gold bar necklace|everyday jewelry|elegant necklace|bridesmaid jewelry|women necklace|timeless jewelry|minimalist jewelry|dainty necklace","White blouse neckline hero"
"Gold Paperclip Chain Bracelet – Minimal 18K Plated Jewelry","hero","Gold Paperclip Chain Bracelet, Minimal Everyday Jewelry, Gift for Her","A minimal gold paperclip bracelet designed for everyday polish and easy stacking. Its clean silhouette makes it a giftable staple with broad appeal.","gold paperclip bracelet|minimal bracelet|everyday jewelry|gift for her|gold bracelet|stacking bracelet|quiet luxury jewelry|women bracelet|18k bracelet|dainty bracelet|minimalist jewelry|birthday gift|classic bracelet","Wrist crop with soft shadow"
"Silver Heart Lock Necklace – Beaded Chain Choker Jewelry","reframe","Silver Heart Lock Necklace, Beaded Chain Choker, Gift for Her","A silver heart lock necklace with a romantic beaded-chain look and feminine edge. Best positioned as youthful gifting jewelry rather than core quiet luxury.","silver heart necklace|heart lock necklace|gift for her|beaded chain necklace|choker necklace|romantic jewelry|silver pendant|birthday gift|women necklace|layering jewelry|cute necklace|dainty jewelry|friend gift","Product clear, simple neutral backdrop"
"Gold Mom Heart Necklace – Elegant Gift for Mother’s Day","hero","Gold Mom Heart Necklace, Meaningful Mother Gift, Elegant Jewelry for Her","A gold heart necklace made as a meaningful gift for mothers and mother figures. The design is sentimental without losing the polished feminine feel of the brand.","mom necklace|mother gift|gold heart necklace|gift for mom|meaningful necklace|mothers day gift|sentimental jewelry|gold pendant necklace|family gift|women necklace|heart jewelry|birthday gift|elegant necklace","Gift box hero with emotional but clean styling"
"Minimal Gold Heart Necklace, Elegant Everyday Jewelry, Feminine Layering Necklace for Women","hero","Minimal Gold Heart Necklace, Everyday Feminine Jewelry, Gift for Her","A minimal gold heart necklace with soft feminine appeal and all-day versatility. It is one of the clearest everyday gifting products in the catalog.","minimal heart necklace|gold heart necklace|gift for her|everyday jewelry|feminine necklace|layering jewelry|dainty necklace|quiet luxury jewelry|romantic gift|women necklace|birthday gift|minimalist jewelry|gold pendant necklace","Collarbone crop on cream knit"
"Gold Plated Box Chain Necklace: Minimalist Layering Choker","hero","Gold Box Chain Necklace, Minimal Layering Choker, Everyday Jewelry","A polished gold box chain necklace with a clean geometric profile for daily layering. It strengthens the core minimal-chain collection and gives shoppers a classic staple.","gold box chain|minimal chain necklace|layering choker|everyday jewelry|gold necklace|quiet luxury jewelry|gift for her|minimalist jewelry|women necklace|daily necklace|classic chain|dainty jewelry|gold plated necklace","Chain close-up in clean S curve"
"Handmade Gold Star and Heart Charm Necklace: Minimalist Jewelry","reframe","Gold Star and Heart Charm Necklace, Dainty Gift for Her","A delicate gold star and heart charm necklace with playful romantic detail. Reframe it as a light feminine gift rather than broad minimalist jewelry.","star heart necklace|gold charm necklace|gift for her|dainty necklace|romantic jewelry|birthday gift|cute necklace|women jewelry|layering necklace|gold pendant necklace|friend gift|feminine jewelry|everyday necklace","Charms separated and legible"
"Pearl Choker Necklace, Gold Snake Pendant, Gothic Pearl Jewelry, Statement Gift for Her","quarantine","Pearl Choker with Gold Snake Pendant, Statement Gift for Her","A pearl choker with a gold snake pendant for bolder statement styling. Keep as a niche product and do not let it lead the brand story.","snake necklace|pearl choker|statement jewelry|gift for her|gothic necklace|gold pendant necklace|pearl necklace|women jewelry|bold necklace|alternative gift|layering necklace|romantic jewelry|unique necklace","High-contrast product shot, not homepage"
"Pearl Chain Necklace, Gold Toggle Clasp Necklace, Coastal Layering Jewelry, Gift for Her","hero","Pearl Chain Necklace, Gold Toggle Clasp, Coastal Luxury Gift for Her","A pearl chain necklace with a gold toggle clasp and an elevated coastal feel. It is strong for summer styling, gifting, and layered pearl looks.","pearl chain necklace|toggle clasp necklace|coastal jewelry|gift for her|pearl necklace|summer necklace|layering jewelry|quiet luxury jewelry|women necklace|bridal jewelry|elegant necklace|vacation jewelry|dainty necklace","Clasp visible in hero, pearl texture crisp"
"Gold Coral Pendant Pearl Necklace – Elegant Coastal Jewelry","reframe","Gold Coral Pendant Pearl Necklace, Elegant Coastal Gift for Her","A pearl necklace with a gold coral pendant for polished coastal styling. It adds a refined summer accent while staying feminine and giftable.","coral pendant necklace|pearl necklace|coastal jewelry|gift for her|summer jewelry|gold pendant necklace|vacation necklace|elegant necklace|women jewelry|beach wedding jewelry|layering necklace|pearl jewelry|dainty necklace","Pendant close-up on pale shell-toned surface"
"Sunshine Orange Enamel Necklace: 18K Gold Plated Boho Pendant","quarantine","Orange Enamel Pendant Necklace, Colorful Summer Gift for Her","A bright orange enamel pendant necklace for playful summer styling. Keep as a color-pop SKU, not as a core luxury brand piece.","orange necklace|enamel pendant|summer gift|gift for her|colorful necklace|gold pendant necklace|boho jewelry|vacation jewelry|women necklace|bright jewelry|layering necklace|birthday gift|summer necklace","White background, exclude from hero placements"
"Chunky Gold Chain Necklace: 18K Plated Textured Circle Link","quarantine","Chunky Gold Chain Necklace, Textured Circle Link Statement Jewelry","A chunky gold chain necklace with a bolder textured look and statement proportion. It sits outside the quiet-luxury lane and should not lead store positioning.","chunky gold necklace|statement chain|gold chain necklace|circle link necklace|bold jewelry|gift for her|women necklace|textured chain|fashion necklace|layering necklace|18k style necklace|statement jewelry|gold necklace","On-model but de-featured"
"Layered Gold Bead Necklace – Dainty Minimalist Jewelry","hero","Layered Gold Bead Necklace, Dainty Minimalist Jewelry, Gift for Her","A layered gold bead necklace with delicate shine and an easy minimalist profile. It is a strong core piece for repeat wear, gifting, and quiet luxury styling.","layered gold necklace|gold bead necklace|dainty jewelry|gift for her|minimalist necklace|quiet luxury jewelry|everyday necklace|women necklace|layering jewelry|gold necklace|birthday gift|feminine jewelry|daily necklace","Layering shot on open neckline"
"Turquoise Heart Charm Necklace, Gold Beaded Coastal Jewelry, Dainty Summer Layering Gift for Her","reframe","Turquoise Heart Charm Necklace, Gold Beaded Summer Gift for Her","A turquoise heart charm necklace with gold beading and feminine summer color. It has gifting appeal but should be styled cleanly to stay within the brand world.","turquoise heart necklace|heart charm necklace|summer gift|gift for her|beaded necklace|coastal jewelry|dainty necklace|women jewelry|vacation necklace|gold charm necklace|summer necklace|layering jewelry|cute necklace","Bright, uncluttered flat lay"
"Turquoise Heart Charm Necklace, Gold Beaded Coastal Boho Jewelry","reframe","Turquoise Heart Charm Necklace, Gold Beaded Summer Jewelry","A turquoise heart charm necklace with gold beading and a fresh summer feel. Keep the visual presentation elevated so it reads feminine, not costume-like.","turquoise heart necklace|heart charm necklace|beaded necklace|summer jewelry|coastal necklace|gift for her|dainty necklace|women jewelry|vacation necklace|gold charm necklace|summer necklace|layering jewelry|cute necklace","Use same system as sister SKU"
"Gold Butterfly Necklace: Blue Cubic Zirconia Pendant, 18K Gold Plated","reframe","Gold Butterfly Necklace, Blue Crystal Pendant, Feminine Gift for Her","A gold butterfly necklace with a blue crystal accent for a soft feminine look. It works best as sentimental gifting jewelry and a color-accent piece.","butterfly necklace|blue crystal necklace|gift for her|gold pendant necklace|feminine jewelry|dainty necklace|birthday gift|women necklace|romantic jewelry|gold necklace|cute necklace|layering jewelry|sentimental gift","Pendant macro plus model image"
"Pearl Drop Necklace, Gold Leaf Chain Choker, Baroque Pearl Jewelry, Coastal Gift for Her","hero","Pearl Drop Necklace, Gold Leaf Chain Choker, Elegant Gift for Her","A pearl drop necklace with leaf-chain detail and a refined feminine silhouette. It feels elevated enough for gifting, bridal styling, and special everyday looks.","pearl drop necklace|leaf chain necklace|gift for her|elegant necklace|baroque pearl jewelry|bridal necklace|women jewelry|feminine necklace|pearl necklace|layering jewelry|romantic gift|coastal jewelry|statement necklace","On-model dressier shot with clean crop"
"Minimal Pearl Necklace, Dainty Pearl Choker, Quiet Luxury Jewelry, Gift for Her","hero","Minimal Pearl Necklace, Dainty Pearl Choker, Quiet Luxury Gift for Her","A minimal pearl necklace made for repeat wear, refined layering, and elegant gifting. It is a cornerstone Edel Luxe product and should anchor the store visually.","minimal pearl necklace|pearl choker|quiet luxury jewelry|gift for her|dainty necklace|pearl jewelry|everyday necklace|timeless jewelry|elegant necklace|bridesmaid jewelry|minimalist jewelry|women necklace|classic necklace","Best-in-class hero shot, use on homepage"
"Silver Initial Necklace - ""E"" Paperclip Chain Pendant","reframe","Silver Initial Necklace, Letter E Pendant, Personalized Gift for Her","A silver initial necklace with a letter E pendant and paperclip chain styling. Position as a personalized gift piece for birthdays and everyday wear.","initial necklace|letter e necklace|personalized gift|gift for her|silver pendant necklace|paperclip chain necklace|birthday gift|women jewelry|name necklace|initial jewelry|dainty necklace|friend gift|everyday necklace","Initial readable at thumbnail size"
"Handmade Black and Yellow Crystal Beaded Necklace: Boho Choker","quarantine","Black Yellow Beaded Necklace, Crystal Choker, Colorful Gift","A black and yellow beaded necklace with a strong color story and niche styling. It does not support the premium minimalist positioning and should remain secondary.","beaded choker|crystal necklace|colorful necklace|gift for her|boho choker|statement necklace|women jewelry|black yellow jewelry|handmade necklace|festival jewelry|layering necklace|birthday gift|unique necklace","Product-only, de-featured"
"Silver Hamsa Necklace: Pavé Crystal Evil Eye Protection Pendant","reframe","Silver Hamsa Necklace, Crystal Evil Eye Pendant, Protective Gift for Her","A silver hamsa necklace with crystal evil eye detail for protective symbolism and feminine shine. It is strongest as a meaningful gift product.","silver hamsa necklace|evil eye pendant|protective jewelry|gift for her|meaningful necklace|silver pendant necklace|spiritual jewelry|women necklace|crystal necklace|dainty jewelry|birthday gift|symbolic necklace|layering jewelry","Crystal detail sharp, neutral background"
"Gold Initial Necklace - Bamboo Letter A Pendant","reframe","Gold Initial Necklace, Letter A Pendant, Personalized Gift for Her","A gold initial necklace with a letter A pendant and warm polished finish. It is a simple personalized gift piece for everyday wear.","gold initial necklace|letter a necklace|personalized gift|gift for her|gold pendant necklace|birthday gift|women jewelry|name necklace|initial jewelry|dainty necklace|friend gift|everyday necklace|gold necklace","Letter large and centered"
"Gold Paperclip Chain Necklace: Minimalist Layering Jewelry","hero","Gold Paperclip Chain Necklace, Minimal Layering Jewelry, Everyday Gift","A gold paperclip chain necklace with clean modern lines for effortless daily layering. It is highly aligned with the Edel Luxe core aesthetic.","gold paperclip necklace|minimalist necklace|layering jewelry|everyday necklace|quiet luxury jewelry|gift for her|gold chain necklace|women necklace|dainty jewelry|classic necklace|daily necklace|minimal gold necklace|birthday gift","Collarbone shot with clean negative space"
"Dainty Silver Rainbow Beaded Necklace: Minimalist Layering Jewelry","quarantine","Silver Rainbow Beaded Necklace, Dainty Colorful Gift for Her","A dainty silver rainbow beaded necklace with playful color and light layering appeal. Keep outside the main luxury edit.","rainbow necklace|beaded necklace|gift for her|silver necklace|colorful jewelry|dainty necklace|women jewelry|minimalist necklace|birthday gift|cute necklace|layering necklace|friend gift|summer necklace","Bright product crop, secondary only"
"Dainty Gold Heart Chain Necklace: Minimalist Layering Jewelry","hero","Dainty Gold Heart Chain Necklace, Everyday Gift for Her","A dainty gold heart chain necklace with delicate romantic appeal and easy wearability. It belongs in the everyday core collection.","gold heart chain|dainty necklace|gift for her|everyday jewelry|heart necklace|minimalist jewelry|women necklace|layering necklace|romantic gift|gold necklace|birthday gift|feminine jewelry|daily necklace","Close-up plus on-model"
"Gold Cuban Link Chain Necklace - Unisex Streetwear Jewelry","quarantine","Gold Cuban Link Chain Necklace, Bold Unisex Statement Jewelry","A gold Cuban link chain with bolder streetwear styling. It does not fit the quiet-luxury strategy and should be separated from the main shop identity.","gold cuban chain|unisex chain necklace|streetwear jewelry|statement necklace|gold chain necklace|bold jewelry|gift for him|gift for her|fashion chain|chunky necklace|daily necklace|gold necklace|link chain","Remove from brand-facing placements"
"Gold Cross & Enamel Heart Charm Necklace: Chunky Chain Faith Jewelry","quarantine","Gold Cross Heart Charm Necklace, Faith Jewelry Gift for Her","A gold cross and enamel heart charm necklace with expressive faith styling. Keep as a niche product, not a core visual signal.","cross heart necklace|faith jewelry|gift for her|gold charm necklace|religious necklace|heart charm necklace|chunky necklace|women jewelry|spiritual gift|gold pendant necklace|romantic jewelry|statement necklace|birthday gift","Product-only neutral crop"
"Gold Heart Locket Necklace: Vintage-Inspired Photo Keepsake","hero","Gold Heart Locket Necklace, Vintage Keepsake Pendant, Gift for Her","A gold heart locket necklace with vintage-inspired warmth and personal gifting power. This is one of the strongest emotional products in the assortment.","gold heart locket|locket necklace|gift for her|keepsake necklace|vintage necklace|meaningful jewelry|photo locket|romantic gift|anniversary gift|gold pendant necklace|women necklace|sentimental gift|heart jewelry","Open locket detail plus gift box"
"Halloween Glass Charm Set: Spooky DIY Jewelry Beads (6-12 Piece)","quarantine","Halloween Glass Charm Set, Spooky DIY Jewelry Beads","A seasonal glass charm set for DIY Halloween projects. This product belongs outside the core Edel Luxe jewelry narrative.","halloween charms|diy jewelry beads|glass charm set|spooky beads|craft supplies|halloween jewelry|seasonal craft|pumpkin charm|skull charm|october craft|bead set|diy necklace|holiday supplies","Seasonal only, no homepage exposure"
"Enamel Mummy Pendant Necklace: Gold-Tone Halloween Jewelry","quarantine","Enamel Mummy Pendant Necklace, Halloween Gift Jewelry","A mummy pendant necklace for Halloween costume styling and seasonal gifting. Keep only as a time-bound product.","mummy necklace|halloween necklace|seasonal gift|costume jewelry|spooky necklace|enamel pendant|gold tone necklace|october gift|fun jewelry|holiday necklace|novelty gift|women jewelry|party accessory","Seasonal crop only"
"Enamel Witch Pendant Necklace: Gold Chain Halloween Costume Jewelry","quarantine","Enamel Witch Pendant Necklace, Halloween Costume Jewelry","A witch pendant necklace for festive Halloween styling. It does not support the premium brand story outside seasonal use.","witch necklace|halloween jewelry|costume necklace|seasonal gift|spooky pendant|enamel necklace|october jewelry|party accessory|novelty gift|women jewelry|holiday necklace|fun jewelry|gift for her","Seasonal crop only"
"Enamel Pumpkin Pendant Necklace: Gold-Tone Halloween Costume Jewelry","quarantine","Enamel Pumpkin Pendant Necklace, Halloween Gift Jewelry","A pumpkin pendant necklace for festive seasonal styling and Halloween gifting. Keep contained to seasonal campaigns.","pumpkin necklace|halloween jewelry|seasonal gift|costume necklace|spooky pendant|enamel necklace|october jewelry|party accessory|novelty gift|women jewelry|holiday necklace|fun jewelry|gift for her","Seasonal crop only"
"Seashell Flower Pendant Necklace: Handmade Ocean Boho Jewelry","reframe","Seashell Flower Pendant Necklace, Coastal Summer Gift for Her","A seashell flower pendant necklace with feminine coastal charm and warm-weather appeal. It can remain if shot in a cleaner luxury style.","seashell necklace|flower pendant necklace|coastal jewelry|summer gift|gift for her|ocean necklace|vacation jewelry|beach necklace|gold pendant necklace|women jewelry|summer necklace|boho jewelry|layering necklace","White linen, shell detail crisp"
"Handmade Enamel Fish Pendant Necklace - Gold Plated Ocean Jewelry","reframe","Gold Fish Pendant Necklace, Coastal Summer Jewelry, Gift for Her","A gold fish pendant necklace with ocean-inspired styling and playful summer character. Best kept as a seasonal coastal accent.","fish pendant necklace|coastal jewelry|summer necklace|gift for her|gold pendant necklace|ocean jewelry|vacation necklace|women jewelry|beach jewelry|summer gift|layering necklace|gold necklace|cute necklace","Clean ocean palette, no clutter"
